asset_id;asset_type;feeder_id;ilce;yas_2025;ariza_sayisi_5yil;agac_yogunlugu_skoru;kiyi_mesafesi_km;yuklenme_orani;fider_abone_sayisi;fider_kritik_musteri;toplam_kayip_kWh;Kirilganlik_Puan;Etki_Puan;Risk_Skoru;Risk_Kategorisi
MRS-F-097-D0003;DIREK;MRS-F-097;Bozyazi;34,0;0;0,4;2;47,3%;2783;1;0;42,87;20,75;8,90;Dü?ük
MRS-F-064-D0221;DIREK;MRS-F-064;Tarsus;26,0;0;0,72;14;54,5%;3036;1;0;40,56;21,93;8,90;Dü?ük
MRS-F-064-D0004;DIREK;MRS-F-064;Tarsus;26,0;0;0,72;14;54,5%;3036;1;0;40,56;21,93;8,90;Dü?ük
MRS-F-097-D0177;DIREK;MRS-F-097;Bozyazi;35,0;0;0,34;2;47,3%;2783;1;0;42,86;20,75;8,89;Dü?ük
MRS-F-095-D0015;DIREK;MRS-F-095;Bozyazi;36,0;1;0,37;2;40,9%;1673;1;7962,2;48,17;18,46;8,89;Dü?ük
MRS-F-072-D0210;DIREK;MRS-F-072;Erdemli;39,0;0;0,38;2;50,0%;2449;1;0;46,33;19,19;8,89;Dü?ük
MRS-F-004-D0001;DIREK;MRS-F-004;Akdeniz;30,0;2;0,26;1;47,3%;3474;0;9285,9;51,30;17,34;8,89;Dü?ük
MRS-F-088-D0211;DIREK;MRS-F-088;Silifke;46,0;0;0,29;3;48,3%;2227;1;0;48,97;18,16;8,89;Dü?ük
MRS-F-072-D0321;DIREK;MRS-F-072;Erdemli;41,0;0;0,26;2;50,0%;2449;1;0;46,32;19,19;8,89;Dü?ük
MRS-F-088-D0299;DIREK;MRS-F-088;Silifke;47,0;0;0,23;3;48,3%;2227;1;0;48,96;18,16;8,89;Dü?ük
MRS-F-089-D0105;DIREK;MRS-F-089;Silifke;40,0;1;0,79;3;48,4%;1486;1;2912,8;56,40;15,76;8,89;Dü?ük
MRS-F-053-T003;DAGITIM_TRAFOSU;MRS-F-053;Tarsus;27,0;0;0,72;14;62,7%;2744;1;0;43,21;20,57;8,89;Dü?ük
MRS-F-113-D0162;DIREK;MRS-F-113;Mut;41,0;0;0,64;48;62,5%;2720;1;0;43,45;20,46;8,89;Dü?ük
MRS-F-112-D0131;DIREK;MRS-F-112;Mut;47,0;0;0,37;48;48,5%;3001;1;0;40,83;21,77;8,89;Dü?ük
MRS-F-101-D0048;DIREK;MRS-F-101;Anamur;32,0;0;0,45;2;52,1%;2725;1;0;43,39;20,48;8,89;Dü?ük
MRS-F-038-T042;DAGITIM_TRAFOSU;MRS-F-038;Yenisehir;7,0;0;0,12;1;79,9%;6368;0;0;32,37;27,46;8,89;Dü?ük
MRS-F-101-D0088;DIREK;MRS-F-101;Anamur;33,0;0;0,39;2;52,1%;2725;1;0;43,39;20,48;8,89;Dü?ük
MRS-F-092-D0204;DIREK;MRS-F-092;Aydincik;35,0;0;0,66;2;49,8%;2414;1;0;46,69;19,03;8,89;Dü?ük
MRS-F-038-T015;DAGITIM_TRAFOSU;MRS-F-038;Yenisehir;9,0;0;0;1;79,9%;6368;0;0;32,36;27,46;8,88;Dü?ük
MRS-F-102-D0190;DIREK;MRS-F-102;Anamur;17,0;1;0,48;2;52,6%;2783;1;2717,4;40,88;21,74;8,88;Dü?ük
MRS-F-088-D0236;DIREK;MRS-F-088;Silifke;28,0;1;0,43;3;48,3%;2227;1;3591,2;45,65;19,46;8,88;Dü?ük
MRS-F-010-D0128;DIREK;MRS-F-010;Akdeniz;25,0;0;0,49;1;63,4%;2800;1;0;42,65;20,83;8,88;Dü?ük
MRS-F-102-D0226;DIREK;MRS-F-102;Anamur;31,0;0;0,44;2;52,6%;2783;1;0;42,81;20,75;8,88;Dü?ük
MRS-F-072-D0276;DIREK;MRS-F-072;Erdemli;24,0;1;0,48;2;50,0%;2449;1;2230,3;44,41;20,00;8,88;Dü?ük
MRS-F-102-D0191;DIREK;MRS-F-102;Anamur;32,0;0;0,38;2;52,6%;2783;1;0;42,80;20,75;8,88;Dü?ük
MRS-F-010-D0168;DIREK;MRS-F-010;Akdeniz;28,0;0;0,31;1;63,4%;2800;1;0;42,64;20,83;8,88;Dü?ük
MRS-F-115-D0346;DIREK;MRS-F-115;Gulnar;33,0;0;0,32;3;48,1%;2926;1;0;41,47;21,42;8,88;Dü?ük
MRS-F-067-D0148;DIREK;MRS-F-067;Camliyayla;42,0;0;0,59;32;51,5%;2641;1;0;44,20;20,09;8,88;Dü?ük
MRS-F-117-D0368;DIREK;MRS-F-117;Gulnar;33,0;2;0,63;3;39,6%;1086;1;9549,3;54,45;16,30;8,88;Dü?ük
MRS-F-047-T007;DAGITIM_TRAFOSU;MRS-F-047;Mezitli;20,0;0;0,28;1;53,0%;3777;1;0;34,97;25,38;8,88;Dü?ük
MRS-F-072-D0322;DIREK;MRS-F-072;Erdemli;38,0;0;0,43;2;50,0%;2449;1;0;46,24;19,19;8,88;Dü?ük
MRS-F-097-D0034;DIREK;MRS-F-097;Bozyazi;34,0;0;0,39;2;47,3%;2783;1;0;42,77;20,75;8,88;Dü?ük
MRS-F-053-D0084;DIREK;MRS-F-053;Tarsus;27,7;0;0,67;14;62,7%;2744;1;0;43,15;20,57;8,87;Dü?ük
MRS-F-064-D0182;DIREK;MRS-F-064;Tarsus;26,0;0;0,71;14;54,5%;3036;1;0;40,46;21,93;8,87;Dü?ük
MRS-F-088-D0336;DIREK;MRS-F-088;Silifke;47,0;0;0,22;3;48,3%;2227;1;0;48,86;18,16;8,87;Dü?ük
MRS-F-072-D0345;DIREK;MRS-F-072;Erdemli;41,0;0;0,25;2;50,0%;2449;1;0;46,22;19,19;8,87;Dü?ük
MRS-F-064-D0401;DIREK;MRS-F-064;Tarsus;27,0;0;0,65;14;54,5%;3036;1;0;40,46;21,93;8,87;Dü?ük
MRS-F-053-D0079;DIREK;MRS-F-053;Tarsus;17,0;1;0,65;14;62,7%;2744;1;761,8;42,56;20,85;8,87;Dü?ük
MRS-F-106-D0038;DIREK;MRS-F-106;Anamur;37,0;1;1;2;43,8%;1627;1;1493,6;55,78;15,91;8,87;Dü?ük
MRS-F-064-D0018;DIREK;MRS-F-064;Tarsus;28,0;0;0,59;14;54,5%;3036;1;0;40,45;21,93;8,87;Dü?ük
MRS-F-064-D0238;DIREK;MRS-F-064;Tarsus;28,0;0;0,59;14;54,5%;3036;1;0;40,45;21,93;8,87;Dü?ük
MRS-F-064-D0332;DIREK;MRS-F-064;Tarsus;28,0;0;0,59;14;54,5%;3036;1;0;40,45;21,93;8,87;Dü?ük
MRS-F-101-D0141;DIREK;MRS-F-101;Anamur;30,0;0;0,56;2;52,1%;2725;1;0;43,30;20,48;8,87;Dü?ük
MRS-F-053-D0022;DIREK;MRS-F-053;Tarsus;27,0;0;0,71;14;62,7%;2744;1;0;43,11;20,57;8,87;Dü?ük
MRS-F-053-D0018;DIREK;MRS-F-053;Tarsus;28,0;0;0,65;14;62,7%;2744;1;0;43,11;20,57;8,87;Dü?ük
MRS-F-113-D0198;DIREK;MRS-F-113;Mut;27,0;1;0,8;48;62,5%;2720;1;832,8;42,71;20,76;8,87;Dü?ük
MRS-F-112-D0207;DIREK;MRS-F-112;Mut;47,0;0;0,36;48;48,5%;3001;1;0;40,73;21,77;8,87;Dü?ük
MRS-F-092-D0173;DIREK;MRS-F-092;Aydincik;36,0;0;0,59;2;49,8%;2414;1;0;46,58;19,03;8,87;Dü?ük
MRS-F-068-D0015;DIREK;MRS-F-068;Camliyayla;33,0;3;0,66;32;48,4%;2228;0;20570;56,76;15,62;8,86;Dü?ük
MRS-F-092-D0215;DIREK;MRS-F-092;Aydincik;37,0;0;0,53;2;49,8%;2414;1;0;46,58;19,03;8,86;Dü?ük
MRS-F-010-D0014;DIREK;MRS-F-010;Akdeniz;24,0;0;0,54;1;63,4%;2800;1;0;42,55;20,83;8,86;Dü?ük
MRS-F-010-D0207;DIREK;MRS-F-010;Akdeniz;25,0;0;0,48;1;63,4%;2800;1;0;42,55;20,83;8,86;Dü?ük
MRS-F-102-D0156;DIREK;MRS-F-102;Anamur;31,0;0;0,43;2;52,6%;2783;1;0;42,71;20,75;8,86;Dü?ük
MRS-F-010-D0196;DIREK;MRS-F-010;Akdeniz;26,0;0;0,42;1;63,4%;2800;1;0;42,55;20,83;8,86;Dü?ük
MRS-F-102-D0099;DIREK;MRS-F-102;Anamur;34,0;0;0,25;2;52,6%;2783;1;0;42,69;20,75;8,86;Dü?ük
MRS-F-038-D0018;DIREK;MRS-F-038;Yenisehir;8,0;0;0,05;1;79,9%;6368;0;0;32,26;27,46;8,86;Dü?ük
MRS-F-115-D0263;DIREK;MRS-F-115;Gulnar;34,0;0;0,25;3;48,1%;2926;1;0;41,36;21,42;8,86;Dü?ük
MRS-F-092-D0010;DIREK;MRS-F-092;Aydincik;23,0;1;0,58;2;49,8%;2414;1;2113,7;44,74;19,80;8,86;Dü?ük
MRS-F-072-D0342;DIREK;MRS-F-072;Erdemli;37,0;0;0,48;2;50,0%;2449;1;0;46,14;19,19;8,86;Dü?ük
MRS-F-064-D0184;DIREK;MRS-F-064;Tarsus;27,7;0;0,6;14;54,5%;3036;1;0;40,39;21,93;8,86;Dü?ük
MRS-F-088-D0365;DIREK;MRS-F-088;Silifke;46,0;0;0,27;3;48,3%;2227;1;0;48,77;18,16;8,86;Dü?ük
MRS-F-053-D0160;DIREK;MRS-F-053;Tarsus;27,7;0;0,66;14;62,7%;2744;1;0;43,05;20,57;8,85;Dü?ük
MRS-F-097-D0145;DIREK;MRS-F-097;Bozyazi;35,0;0;0,32;2;47,3%;2783;1;0;42,66;20,75;8,85;Dü?ük
MRS-F-033-D0105;DIREK;MRS-F-033;Yenisehir;36,0;1;0,29;1;46,1%;1929;1;3707,3;48,87;18,11;8,85;Dü?ük
MRS-F-072-D0098;DIREK;MRS-F-072;Erdemli;27,0;1;0,41;2;50,0%;2449;1;730,7;45,49;19,46;8,85;Dü?ük
MRS-F-064-D0015;DIREK;MRS-F-064;Tarsus;26,0;0;0,7;14;54,5%;3036;1;0;40,36;21,93;8,85;Dü?ük
MRS-F-116-D0305;DIREK;MRS-F-116;Gulnar;44,0;1;0,69;3;39,1%;1360;1;5064,3;55,48;15,95;8,85;Dü?ük
MRS-F-064-D0233;DIREK;MRS-F-064;Tarsus;27,0;0;0,64;14;54,5%;3036;1;0;40,36;21,93;8,85;Dü?ük
MRS-F-092-D0013;DIREK;MRS-F-092;Aydincik;23,0;1;0,6;2;49,8%;2414;1;1819,8;44,94;19,69;8,85;Dü?ük
MRS-F-113-D0044;DIREK;MRS-F-113;Mut;38,0;0;0,8;48;62,5%;2720;1;0;43,26;20,46;8,85;Dü?ük
MRS-F-113-D0101;DIREK;MRS-F-113;Mut;38,0;0;0,8;48;62,5%;2720;1;0;43,26;20,46;8,85;Dü?ük
MRS-F-064-D0028;DIREK;MRS-F-064;Tarsus;28,0;0;0,58;14;54,5%;3036;1;0;40,35;21,93;8,85;Dü?ük
MRS-F-053-D0163;DIREK;MRS-F-053;Tarsus;26,0;0;0,76;14;62,7%;2744;1;0;43,02;20,57;8,85;Dü?ük
MRS-F-014-T026;DAGITIM_TRAFOSU;MRS-F-014;Akdeniz;5,0;0;0,1;1;71,6%;7044;0;0;28,91;30,61;8,85;Dü?ük
MRS-F-014-T020;DAGITIM_TRAFOSU;MRS-F-014;Akdeniz;5,0;0;0,1;1;71,6%;7044;0;0;28,91;30,61;8,85;Dü?ük
MRS-F-064-D0100;DIREK;MRS-F-064;Tarsus;29,0;0;0,52;14;54,5%;3036;1;0;40,35;21,93;8,85;Dü?ük
MRS-F-092-D0080;DIREK;MRS-F-092;Aydincik;34,0;0;0,7;2;49,8%;2414;1;0;46,49;19,03;8,85;Dü?ük
MRS-F-053-D0158;DIREK;MRS-F-053;Tarsus;27,0;0;0,7;14;62,7%;2744;1;0;43,01;20,57;8,85;Dü?ük
MRS-F-101-T002;DAGITIM_TRAFOSU;MRS-F-101;Anamur;31,0;0;0,49;2;52,1%;2725;1;0;43,20;20,48;8,85;Dü?ük
MRS-F-064-D0347;DIREK;MRS-F-064;Tarsus;30,0;0;0,46;14;54,5%;3036;1;0;40,34;21,93;8,85;Dü?ük
MRS-F-010-D0041;DIREK;MRS-F-010;Akdeniz;27,7;0;0,31;1;63,4%;2800;1;0;42,47;20,83;8,85;Dü?ük
MRS-F-072-D0125;DIREK;MRS-F-072;Erdemli;16,0;1;0,51;2;50,0%;2449;1;8150,2;39,94;22,15;8,85;Dü?ük
MRS-F-101-D0083;DIREK;MRS-F-101;Anamur;32,0;0;0,43;2;52,1%;2725;1;0;43,19;20,48;8,85;Dü?ük
MRS-F-095-D0039;DIREK;MRS-F-095;Bozyazi;23,0;2;0,68;2;40,9%;1673;1;6289,9;49,54;17,86;8,85;Dü?ük
MRS-F-092-D0094;DIREK;MRS-F-092;Aydincik;18,0;1;0,76;2;49,8%;2414;1;3508,2;43,57;20,30;8,85;Dü?ük
MRS-F-095-D0060;DIREK;MRS-F-095;Bozyazi;28,0;2;0,34;2;40,9%;1673;1;6713,8;49,11;18,01;8,85;Dü?ük
MRS-F-088-D0046;DIREK;MRS-F-088;Silifke;32,0;1;0,31;3;48,3%;2227;1;2006,5;46,83;18,89;8,85;Dü?ük
MRS-F-089-D0222;DIREK;MRS-F-089;Silifke;37,0;1;0,79;3;48,4%;1486;1;4106,7;54,61;16,19;8,84;Dü?ük
MRS-F-010-D0031;DIREK;MRS-F-010;Akdeniz;27,0;0;0,35;1;63,4%;2800;1;0;42,44;20,83;8,84;Dü?ük
MRS-F-010-D0241;DIREK;MRS-F-010;Akdeniz;27,0;0;0,35;1;63,4%;2800;1;0;42,44;20,83;8,84;Dü?ük
MRS-F-102-D0234;DIREK;MRS-F-102;Anamur;33,0;0;0,3;2;52,6%;2783;1;0;42,60;20,75;8,84;Dü?ük
MRS-F-067-D0028;DIREK;MRS-F-067;Camliyayla;25,0;1;0,57;32;51,5%;2641;1;5724,6;39,88;22,16;8,84;Dü?ük
MRS-F-067-D0192;DIREK;MRS-F-067;Camliyayla;26,0;1;0,63;32;51,5%;2641;1;3936,4;41,08;21,52;8,84;Dü?ük
MRS-F-072-D0341;DIREK;MRS-F-072;Erdemli;38,0;0;0,41;2;50,0%;2449;1;0;46,04;19,19;8,84;Dü?ük
MRS-F-115-D0173;DIREK;MRS-F-115;Gulnar;35,0;0;0,18;3;48,1%;2926;1;0;41,26;21,42;8,84;Dü?ük
MRS-F-095-D0301;DIREK;MRS-F-095;Bozyazi;35,0;1;0,45;2;40,9%;1673;1;7407,4;48,38;18,26;8,83;Dü?ük
MRS-F-097-D0037;DIREK;MRS-F-097;Bozyazi;34,0;0;0,37;2;47,3%;2783;1;0;42,57;20,75;8,83;Dü?ük
MRS-F-099-T003;DAGITIM_TRAFOSU;MRS-F-099;Bozyazi;19,0;1;0,35;2;46,4%;2629;1;6863,7;39,22;22,52;8,83;Dü?ük
MRS-F-053-D0012;DIREK;MRS-F-053;Tarsus;26,0;0;0,75;14;62,7%;2744;1;0;42,92;20,57;8,83;Dü?ük
MRS-F-089-D0318;DIREK;MRS-F-089;Silifke;29,0;2;0,78;3;48,4%;1486;1;3089,2;55,75;15,83;8,82;Dü?ük
MRS-F-088-D0152;DIREK;MRS-F-088;Silifke;31,0;1;0,37;3;48,3%;2227;1;1868;46,84;18,84;8,82;Dü?ük
MRS-F-112-D0118;DIREK;MRS-F-112;Mut;47,0;0;0,34;48;48,5%;3001;1;0;40,53;21,77;8,82;Dü?ük
MRS-F-112-D0105;DIREK;MRS-F-112;Mut;47,0;0;0,34;48;48,5%;3001;1;0;40,53;21,77;8,82;Dü?ük
MRS-F-102-D0267;DIREK;MRS-F-102;Anamur;31,0;0;0,41;2;52,6%;2783;1;0;42,51;20,75;8,82;Dü?ük
MRS-F-010-D0047;DIREK;MRS-F-010;Akdeniz;26,0;0;0,4;1;63,4%;2800;1;0;42,35;20,83;8,82;Dü?ük
MRS-F-010-D0122;DIREK;MRS-F-010;Akdeniz;26,0;0;0,4;1;63,4%;2800;1;0;42,35;20,83;8,82;Dü?ük
MRS-F-110-D0061;DIREK;MRS-F-110;Mut;29,0;2;0,65;48;46,7%;2016;1;7334;44,47;19,83;8,82;Dü?ük
MRS-F-010-D0067;DIREK;MRS-F-010;Akdeniz;27,0;0;0,34;1;63,4%;2800;1;0;42,34;20,83;8,82;Dü?ük
MRS-F-072-D0307;DIREK;MRS-F-072;Erdemli;37,0;0;0,46;2;50,0%;2449;1;0;45,94;19,19;8,82;Dü?ük
MRS-F-115-D0334;DIREK;MRS-F-115;Gulnar;31,0;0;0,41;3;48,1%;2926;1;0;41,17;21,42;8,82;Dü?ük
MRS-F-088-D0002;DIREK;MRS-F-088;Silifke;47,0;0;0,19;3;48,3%;2227;1;0;48,56;18,16;8,82;Dü?ük
MRS-F-108-D0058;DIREK;MRS-F-108;Mut;45,0;1;0,44;48;53,2%;2859;0;20584,9;47,50;18,56;8,82;Dü?ük
MRS-F-072-D0211;DIREK;MRS-F-072;Erdemli;39,0;0;0,34;2;50,0%;2449;1;0;45,93;19,19;8,82;Dü?ük
MRS-F-088-D0281;DIREK;MRS-F-088;Silifke;24,0;1;0,45;3;48,3%;2227;1;5857,2;43,47;20,28;8,82;Dü?ük
MRS-F-070-D0054;DIREK;MRS-F-070;Erdemli;36,0;1;0,42;2;40,0%;1512;1;9303,2;48,44;18,20;8,82;Dü?ük
MRS-F-106-D0251;DIREK;MRS-F-106;Anamur;42,0;1;0,72;2;43,8%;1627;1;1070,9;55,95;15,75;8,81;Dü?ük
MRS-F-064-D0044;DIREK;MRS-F-064;Tarsus;27,7;0;0,58;14;54,5%;3036;1;0;40,19;21,93;8,81;Dü?ük
MRS-F-105-D0073;DIREK;MRS-F-105;Anamur;40,0;3;0,62;2;51,2%;2604;0;8586,4;67,62;13,03;8,81;Dü?ük
MRS-F-092-T011;DAGITIM_TRAFOSU;MRS-F-092;Aydincik;34,0;0;0,68;2;49,8%;2414;1;0;46,29;19,03;8,81;Dü?ük
MRS-F-092-D0312;DIREK;MRS-F-092;Aydincik;35,0;0;0,62;2;49,8%;2414;1;0;46,29;19,03;8,81;Dü?ük
MRS-F-092-D0046;DIREK;MRS-F-092;Aydincik;36,0;0;0,56;2;49,8%;2414;1;0;46,28;19,03;8,81;Dü?ük
MRS-F-092-D0058;DIREK;MRS-F-092;Aydincik;36,0;0;0,56;2;49,8%;2414;1;0;46,28;19,03;8,81;Dü?ük
MRS-F-113-D0067;DIREK;MRS-F-113;Mut;39,0;0;0,72;48;62,5%;2720;1;0;43,05;20,46;8,81;Dü?ük
MRS-F-107-D0009;DIREK;MRS-F-107;Anamur;7,0;1;0,32;2;59,4%;3680;1;580,1;35,03;25,14;8,81;Dü?ük
MRS-F-053-D0069;DIREK;MRS-F-053;Tarsus;26,0;0;0,74;14;62,7%;2744;1;0;42,82;20,57;8,81;Dü?ük
MRS-F-064-D0076;DIREK;MRS-F-064;Tarsus;26,0;0;0,68;14;54,5%;3036;1;0;40,16;21,93;8,81;Dü?ük
MRS-F-064-D0006;DIREK;MRS-F-064;Tarsus;26,0;0;0,68;14;54,5%;3036;1;0;40,16;21,93;8,81;Dü?ük
MRS-F-072-D0111;DIREK;MRS-F-072;Erdemli;26,0;1;0,37;2;50,0%;2449;1;1649,2;44,50;19,79;8,81;Dü?ük
MRS-F-064-D0277;DIREK;MRS-F-064;Tarsus;27,0;0;0,62;14;54,5%;3036;1;0;40,16;21,93;8,81;Dü?ük
MRS-F-110-D0208;DIREK;MRS-F-110;Mut;29,0;1;0,51;48;46,7%;2016;1;18155,8;37,07;23,76;8,81;Dü?ük
MRS-F-112-D0162;DIREK;MRS-F-112;Mut;30,0;1;0,42;48;48,5%;3001;1;5229,8;37,21;23,66;8,81;Dü?ük
MRS-F-102-D0222;DIREK;MRS-F-102;Anamur;5,0;2;0,31;2;52,6%;2783;1;6617,9;38,03;23,15;8,80;Dü?ük
MRS-F-088-D0187;DIREK;MRS-F-088;Silifke;46,0;0;0,24;3;48,3%;2227;1;0;48,47;18,16;8,80;Dü?ük
MRS-F-074-D0118;DIREK;MRS-F-074;Erdemli;37,0;2;0,61;2;40,4%;1181;1;5926,4;57,03;15,43;8,80;Dü?ük
MRS-F-029-T005;DAGITIM_TRAFOSU;MRS-F-029;Yenisehir;5,0;0;0,42;1;47,2%;3451;2;0;25,99;33,86;8,80;Dü?ük
MRS-F-072-D0001;DIREK;MRS-F-072;Erdemli;37,0;0;0,45;2;50,0%;2449;1;0;45,84;19,19;8,80;Dü?ük
MRS-F-092-D0077;DIREK;MRS-F-092;Aydincik;17,0;1;0,61;2;49,8%;2414;1;6028,7;41,47;21,22;8,80;Dü?ük
MRS-F-067-D0085;DIREK;MRS-F-067;Camliyayla;28,0;1;0,44;32;51,5%;2641;1;4707,3;40,37;21,80;8,80;Dü?ük
MRS-F-089-D0016;DIREK;MRS-F-089;Silifke;36,0;1;0,78;3;48,4%;1486;1;4440,3;53,92;16,32;8,80;Dü?ük
MRS-F-092-D0251;DIREK;MRS-F-092;Aydincik;35,0;0;0,61;2;49,8%;2414;1;0;46,19;19,03;8,79;Dü?ük
MRS-F-092-D0162;DIREK;MRS-F-092;Aydincik;36,0;0;0,55;2;49,8%;2414;1;0;46,18;19,03;8,79;Dü?ük
MRS-F-064-D0043;DIREK;MRS-F-064;Tarsus;26,0;0;0,67;14;54,5%;3036;1;0;40,06;21,93;8,79;Dü?ük
MRS-F-089-D0273;DIREK;MRS-F-089;Silifke;41,0;1;0,79;3;48,4%;1486;1;1949,3;56,99;15,41;8,78;Dü?ük
MRS-F-053-D0006;DIREK;MRS-F-053;Tarsus;29,0;0;0,55;14;62,7%;2744;1;0;42,70;20,57;8,78;Dü?ük
MRS-F-064-D0304;DIREK;MRS-F-064;Tarsus;28,0;0;0,55;14;54,5%;3036;1;0;40,05;21,93;8,78;Dü?ük
MRS-F-102-D0042;DIREK;MRS-F-102;Anamur;30,0;0;0,45;2;52,6%;2783;1;0;42,31;20,75;8,78;Dü?ük
MRS-F-112-D0103;DIREK;MRS-F-112;Mut;46,0;0;0,38;48;48,5%;3001;1;0;40,34;21,77;8,78;Dü?ük
MRS-F-010-D0129;DIREK;MRS-F-010;Akdeniz;26,0;0;0,38;1;63,4%;2800;1;0;42,15;20,83;8,78;Dü?ük
MRS-F-112-D0164;DIREK;MRS-F-112;Mut;47,0;0;0,32;48;48,5%;3001;1;0;40,33;21,77;8,78;Dü?ük
MRS-F-081-D0046;DIREK;MRS-F-081;Silifke;34,0;3;0,73;3;47,8%;2155;0;16196,3;64,09;13,69;8,78;Dü?ük
MRS-F-115-D0272;DIREK;MRS-F-115;Gulnar;32,0;0;0,33;3;48,1%;2926;1;0;40,97;21,42;8,77;Dü?ük
MRS-F-089-D0015;DIREK;MRS-F-089;Silifke;24,0;2;0,8;3;48,4%;1486;1;5123,3;52,97;16,56;8,77;Dü?ük
MRS-F-113-D0115;DIREK;MRS-F-113;Mut;28,0;1;0,62;48;62,5%;2720;1;1872,7;41,51;21,14;8,77;Dü?ük
MRS-F-053-D0165;DIREK;MRS-F-053;Tarsus;27,7;0;0,62;14;62,7%;2744;1;0;42,65;20,57;8,77;Dü?ük
MRS-F-053-D0157;DIREK;MRS-F-053;Tarsus;27,7;0;0,62;14;62,7%;2744;1;0;42,65;20,57;8,77;Dü?ük
MRS-F-115-D0345;DIREK;MRS-F-115;Gulnar;35,0;0;0,15;3;48,1%;2926;1;0;40,96;21,42;8,77;Dü?ük
MRS-F-097-D0112;DIREK;MRS-F-097;Bozyazi;34,0;0;0,34;2;47,3%;2783;1;0;42,27;20,75;8,77;Dü?ük
MRS-F-092-D0191;DIREK;MRS-F-092;Aydincik;36,0;0;0,54;2;49,8%;2414;1;0;46,08;19,03;8,77;Dü?ük
MRS-F-088-T014;DAGITIM_TRAFOSU;MRS-F-088;Silifke;26,0;1;0,26;3;48,3%;2227;1;6481,9;42,76;20,51;8,77;Dü?ük
MRS-F-053-D0058;DIREK;MRS-F-053;Tarsus;24,0;0;0,84;14;62,7%;2744;1;0;42,63;20,57;8,77;Dü?ük
MRS-F-053-D0045;DIREK;MRS-F-053;Tarsus;25,0;0;0,78;14;62,7%;2744;1;0;42,62;20,57;8,77;Dü?ük
MRS-F-053-D0174;DIREK;MRS-F-053;Tarsus;26,0;0;0,72;14;62,7%;2744;1;0;42,62;20,57;8,77;Dü?ük
MRS-F-053-D0183;DIREK;MRS-F-053;Tarsus;26,0;0;0,72;14;62,7%;2744;1;0;42,62;20,57;8,77;Dü?ük
MRS-F-101-D0140;DIREK;MRS-F-101;Anamur;30,0;0;0,51;2;52,1%;2725;1;0;42,80;20,48;8,77;Dü?ük
MRS-F-113-T004;DAGITIM_TRAFOSU;MRS-F-113;Mut;11,0;2;0,65;48;62,5%;2720;1;7711,4;37,69;23,25;8,76;Dü?ük
MRS-F-067-D0071;DIREK;MRS-F-067;Camliyayla;40,0;0;0,65;32;51,5%;2641;1;0;43,61;20,09;8,76;Dü?ük
MRS-F-018-D0016;DIREK;MRS-F-018;Toroslar;22,0;0;0,07;1;49,6%;3989;1;0;33,22;26,37;8,76;Dü?ük
MRS-F-112-D0203;DIREK;MRS-F-112;Mut;13,0;2;0,27;48;48,5%;3001;1;16459,5;31,59;27,73;8,76;Dü?ük
MRS-F-010-D0237;DIREK;MRS-F-010;Akdeniz;24,0;0;0,49;1;63,4%;2800;1;0;42,05;20,83;8,76;Dü?ük
MRS-F-067-D0186;DIREK;MRS-F-067;Camliyayla;42,0;0;0,53;32;51,5%;2641;1;0;43,60;20,09;8,76;Dü?ük
MRS-F-112-D0096;DIREK;MRS-F-112;Mut;45,0;0;0,43;48;48,5%;3001;1;0;40,24;21,77;8,76;Dü?ük
MRS-F-102-D0154;DIREK;MRS-F-102;Anamur;33,0;0;0,26;2;52,6%;2783;1;0;42,20;20,75;8,76;Dü?ük
MRS-F-066-D0019;DIREK;MRS-F-066;Tarsus;34,0;2;0,75;14;52,6%;2783;0;12619,2;57,14;15,32;8,76;Dü?ük
MRS-F-106-D0303;DIREK;MRS-F-106;Anamur;35,0;1;0,76;2;43,8%;1627;1;3899,6;52,19;16,78;8,76;Dü?ük
MRS-F-024-D0194;DIREK;MRS-F-024;Toroslar;46,0;0;0,66;1;42,6%;1966;1;0;51,66;16,94;8,75;Dü?ük
MRS-F-097-D0074;DIREK;MRS-F-097;Bozyazi;33,0;0;0,39;2;47,3%;2783;1;0;42,17;20,75;8,75;Dü?ük
MRS-F-102-D0034;DIREK;MRS-F-102;Anamur;20,0;1;0,32;2;52,6%;2783;1;1544;41,06;21,31;8,75;Dü?ük
MRS-F-067-D0080;DIREK;MRS-F-067;Camliyayla;21,0;1;0,7;32;51,5%;2641;1;6785,5;38,80;22,55;8,75;Dü?ük
MRS-F-053-D0038;DIREK;MRS-F-053;Tarsus;23,0;0;0,89;14;62,7%;2744;1;0;42,53;20,57;8,75;Dü?ük
MRS-F-102-D0188;DIREK;MRS-F-102;Anamur;18,0;1;0,26;2;52,6%;2783;1;4200,8;39,27;22,27;8,75;Dü?ük
MRS-F-088-D0148;DIREK;MRS-F-088;Silifke;47,0;0;0,15;3;48,3%;2227;1;0;48,16;18,16;8,75;Dü?ük
MRS-F-053-T015;DAGITIM_TRAFOSU;MRS-F-053;Tarsus;26,0;0;0,71;14;62,7%;2744;1;0;42,52;20,57;8,75;Dü?ük
MRS-F-070-D0170;DIREK;MRS-F-070;Erdemli;47,0;1;0,63;2;40,0%;1512;1;1353,8;57,09;15,32;8,75;Dü?ük
MRS-F-053-D0039;DIREK;MRS-F-053;Tarsus;27,0;0;0,65;14;62,7%;2744;1;0;42,51;20,57;8,75;Dü?ük
